DateTime,Users,In-Game
11/20/2019 0:00,13960816,3790852
11/21/2019 0:00,13764649,3762368
11/22/2019 0:00,14428853,4084078
11/23/2019 0:00,16439220,5034054
11/24/2019 0:00,16569597,4897152
11/25/2019 0:00,13864550,3849246
11/26/2019 0:00,13801819,3747496
11/27/2019 0:00,14389346,4023032
11/28/2019 0:00,14438760,4047470
11/29/2019 0:00,15281879,4546497
11/30/2019 0:00,16974394,5252907
12/1/2019 0:00,17155417,5209955
12/2/2019 0:00,14527289,4089236
12/3/2019 0:00,14512255,4025364
12/4/2019 0:00,14520091,4091303
12/5/2019 0:00,14429683,4042126
12/6/2019 0:00,15153917,4573164
12/7/2019 0:00,16913469,5253194
12/8/2019 0:00,17125075,5152451
12/9/2019 0:00,14333935,4005103
12/10/2019 0:00,14332505,3925699
12/11/2019 0:00,14462142,4069336
12/12/2019 0:00,14157477,3913620
12/13/2019 0:00,15009438,4414083
12/14/2019 0:00,16971105,5224126
12/15/2019 0:00,17062715,5163103
12/16/2019 0:00,14512162,4043452
12/17/2019 0:00,14186186,3996723
12/18/2019 0:00,14511313,4113699
12/19/2019 0:00,14544525,4140549
12/20/2019 0:00,16018493,4904190
12/21/2019 0:00,17321493,5302348
12/22/2019 0:00,17490117,5395060
12/23/2019 0:00,16456480,4911175
12/24/2019 0:00,16152721,4865991
12/25/2019 0:00,15796538,4804296
12/26/2019 0:00,16320978,5053623
12/27/2019 0:00,17015702,5354137
12/28/2019 0:00,17577366,5666621
12/29/2019 0:00,17600742,5641295
12/30/2019 0:00,16776059,5213571
12/31/2019 0:00,17013516,5189395
1/1/2020 0:00,16861928,5203703
1/2/2020 0:00,17065226,5184720
1/3/2020 0:00,17324237,5448528
1/4/2020 0:00,17955645,5729658
1/5/2020 0:00,17836965,5553204
1/6/2020 0:00,16242436,4768819
1/7/2020 0:00,15538141,4489575
1/8/2020 0:00,15651517,4501156
1/9/2020 0:00,15344289,4379521
1/10/2020 0:00,16057358,4778763
1/11/2020 0:00,17800827,5577245
1/12/2020 0:00,18082679,5635138
1/13/2020 0:00,15151107,4240618
1/14/2020 0:00,15119149,4256120
1/15/2020 0:00,15090511,4245247
1/16/2020 0:00,14874444,4143800
1/17/2020 0:00,15466583,4499504
1/18/2020 0:00,17151545,5226609
1/19/2020 0:00,17681617,5395622
1/20/2020 0:00,15698995,4427709
1/21/2020 0:00,14811064,4199976
1/22/2020 0:00,15139858,4293973
1/23/2020 0:00,15009960,4257682
1/24/2020 0:00,15758746,4477416
1/25/2020 0:00,17357562,5333481
1/26/2020 0:00,18334908,5742563
1/27/2020 0:00,15856133,4659271
1/28/2020 0:00,15852949,4648905
1/29/2020 0:00,16082136,4783442
1/30/2020 0:00,15515407,4624876
1/31/2020 0:00,16513838,4996661
2/1/2020 0:00,18229426,5744660
2/2/2020 0:00,18801944,5956968
2/3/2020 0:00,15998574,4735403
2/4/2020 0:00,16119628,4715687
2/5/2020 0:00,16146300,4717687
2/6/2020 0:00,16073265,4764300
2/7/2020 0:00,16653522,5078430
2/8/2020 0:00,18476163,5868518
2/9/2020 0:00,19107803,6079346
2/10/2020 0:00,16379689,4864125
2/11/2020 0:00,16172538,4766942
2/12/2020 0:00,16311768,4795018
2/13/2020 0:00,15846983,4766286
2/14/2020 0:00,16274227,4954127
2/15/2020 0:00,18195332,5818960
2/16/2020 0:00,18784637,6006438
2/17/2020 0:00,16383808,4891700
2/18/2020 0:00,16121544,4750502
2/19/2020 0:00,16238997,4846427
2/20/2020 0:00,16241883,4787693
2/21/2020 0:00,16794019,5108887
2/22/2020 0:00,18346544,5770588
2/23/2020 0:00,18897883,5913126
2/24/2020 0:00,16801894,4974675
2/25/2020 0:00,16351439,4709505
2/26/2020 0:00,16449059,4744667
2/27/2020 0:00,16313389,4678411
2/28/2020 0:00,16957670,5107474
2/29/2020 0:00,18892097,5916547
3/1/2020 0:00,19238796,5975759
3/2/2020 0:00,16311251,4719244
3/3/2020 0:00,16298749,4675612
3/4/2020 0:00,16280554,4713766
3/5/2020 0:00,16106355,4670589
3/6/2020 0:00,16812399,5093298
3/7/2020 0:00,18740309,5895577
3/8/2020 0:00,19071497,5943472
3/9/2020 0:00,16701686,4875102
3/10/2020 0:00,16481311,4587442
3/11/2020 0:00,16742145,4749839
3/12/2020 0:00,16814366,4888209
3/13/2020 0:00,17804957,5362265
3/14/2020 0:00,19728294,6267991
3/15/2020 0:00,20313451,6395544
3/16/2020 0:00,19059854,5487638
3/17/2020 0:00,19749321,5628454
3/18/2020 0:00,20200769,5705771
3/19/2020 0:00,20676191,5831719
3/20/2020 0:00,21359817,6233758
3/21/2020 0:00,22379088,7023517
3/22/2020 0:00,22678529,7095128
3/23/2020 0:00,22218401,6161410
3/24/2020 0:00,22303418,6168326
3/25/2020 0:00,22326770,6146844
3/26/2020 0:00,22537692,6185454
3/27/2020 0:00,22391174,6362929
3/28/2020 0:00,22668547,6973848
3/29/2020 0:00,23434674,7248887
3/30/2020 0:00,23571959,6522751
3/31/2020 0:00,23635201,6564922
4/1/2020 0:00,23822540,6742396
4/2/2020 0:00,23836136,6684268
4/3/2020 0:00,24156193,7099461
4/4/2020 0:00,24535923,8171592
4/5/2020 0:00,23950718,7484357
4/6/2020 0:00,23500878,6640041
4/7/2020 0:00,23528451,6456119
4/8/2020 0:00,23287059,6436290
4/9/2020 0:00,23356608,6551717
4/10/2020 0:00,23733428,7088284
4/11/2020 0:00,23762792,7386720
4/12/2020 0:00,23653965,7294790
4/13/2020 0:00,24385319,7095876
4/14/2020 0:00,24038614,6547252
4/15/2020 0:00,23553455,6307467
4/16/2020 0:00,23154456,6282696
4/17/2020 0:00,23578913,6623460
4/18/2020 0:00,23549552,7236257
4/19/2020 0:00,23486390,7114871
4/20/2020 0:00,23472659,6273947
4/21/2020 0:00,23351839,6176044
4/22/2020 0:00,23256741,6169236
4/23/2020 0:00,23205080,6167214
