,Company,Date,Time
221,comcast-xfinity,2019-10-17,1:12 a.m.
222,comcast-xfinity,2019-10-17,12:28 p.m.
223,comcast-xfinity,2019-10-17,11:12 p.m.
224,comcast-xfinity,2019-10-21,1:32 a.m.
225,comcast-xfinity,2019-10-22,12:20 a.m.
226,comcast-xfinity,2019-10-22,10:28 p.m.
227,comcast-xfinity,2019-10-22,12:28 p.m.
228,comcast-xfinity,2019-10-24,12:28 a.m.
229,comcast-xfinity,2019-10-24,4:40 p.m.
230,comcast-xfinity,2019-10-25,2:56 a.m.
231,comcast-xfinity,2019-10-27,3:48 a.m.
232,comcast-xfinity,2019-10-27,2:08 p.m.
233,comcast-xfinity,2019-10-28,12:12 a.m.
234,comcast-xfinity,2019-10-28,8:48 p.m.
235,comcast-xfinity,2019-10-28,10:20 a.m.
236,comcast-xfinity,2019-10-29,10:52 a.m.
237,comcast-xfinity,2019-10-29,8:52 p.m.
238,comcast-xfinity,2019-10-31,1:24 a.m.
239,comcast-xfinity,2019-10-31,11:04 p.m.
240,comcast-xfinity,2019-11-01,5:56 p.m.
241,comcast-xfinity,2019-11-04,12:36 a.m.
242,comcast-xfinity,2019-11-05,1 a.m.
243,comcast-xfinity,2019-11-05,1:24 p.m.
244,comcast-xfinity,2019-11-06,2:08 p.m.
245,comcast-xfinity,2019-11-06,2:48 a.m.
246,comcast-xfinity,2019-11-07,2:56 a.m.
247,comcast-xfinity,2019-11-07,8:36 p.m.
248,comcast-xfinity,2019-11-11,3:20 a.m.
249,comcast-xfinity,2019-11-11,8:16 p.m.
250,comcast-xfinity,2019-11-13,12:32 a.m.
251,comcast-xfinity,2019-11-14,1:32 a.m.
252,comcast-xfinity,2019-11-15,1:24 a.m.
253,comcast-xfinity,2019-11-18,3:32 a.m.
254,comcast-xfinity,2019-11-19,1:24 a.m.
255,comcast-xfinity,2019-11-20,1:44 a.m.
256,comcast-xfinity,2019-11-21,1:28 a.m.
257,comcast-xfinity,2019-11-22,3:20 a.m.
258,comcast-xfinity,2019-11-23,11:32 p.m.
259,comcast-xfinity,2019-11-25,3 a.m.
260,comcast-xfinity,2019-11-26,10:40 p.m.
261,comcast-xfinity,2019-11-26,1:48 a.m.
262,comcast-xfinity,2019-12-03,3:28 p.m.
263,comcast-xfinity,2019-12-04,1:32 a.m.
264,comcast-xfinity,2019-12-05,12:36 a.m.
265,comcast-xfinity,2019-12-06,1:40 a.m.
266,comcast-xfinity,2019-12-10,1:32 a.m.
267,comcast-xfinity,2019-12-11,2:24 a.m.
268,comcast-xfinity,2019-12-12,1:20 a.m.
269,comcast-xfinity,2019-12-16,9:56 p.m.
270,comcast-xfinity,2019-12-18,1:20 a.m.
271,comcast-xfinity,2019-12-19,1:20 a.m.
272,comcast-xfinity,2019-12-20,12:12 a.m.
273,comcast-xfinity,2019-12-31,3:56 a.m.
274,comcast-xfinity,2020-01-02,10:04 p.m.
275,comcast-xfinity,2020-01-07,2:20 a.m.
276,comcast-xfinity,2020-01-08,2:32 a.m.
277,comcast-xfinity,2020-01-09,2:48 a.m.
278,comcast-xfinity,2020-01-10,3:24 a.m.
279,comcast-xfinity,2020-01-13,3:48 a.m.
280,comcast-xfinity,2020-01-15,3:16 a.m.
281,comcast-xfinity,2020-01-21,3:40 a.m.
282,comcast-xfinity,2020-01-22,7:48 p.m.
283,comcast-xfinity,2020-01-22,1:52 a.m.
284,comcast-xfinity,2020-01-23,2:36 p.m.
285,comcast-xfinity,2020-01-24,12:48 a.m.
286,comcast-xfinity,2020-01-27,3:08 p.m.
287,comcast-xfinity,2020-01-28,3:16 a.m.
288,comcast-xfinity,2020-01-29,1:20 a.m.
289,comcast-xfinity,2020-01-31,4:48 a.m.
290,comcast-xfinity,2020-02-05,2:16 a.m.
291,comcast-xfinity,2020-02-06,2:32 a.m.
292,comcast-xfinity,2020-02-07,3:20 a.m.
293,comcast-xfinity,2020-02-11,2:48 a.m.
294,comcast-xfinity,2020-02-12,2:24 a.m.
295,comcast-xfinity,2020-02-13,1:44 a.m.
296,comcast-xfinity,2020-02-14,2:28 a.m.
297,comcast-xfinity,2020-02-14,12:32 p.m.
298,comcast-xfinity,2020-02-17,2:48 a.m.
299,comcast-xfinity,2020-02-18,3:32 a.m.
300,comcast-xfinity,2020-02-19,3:04 a.m.
301,comcast-xfinity,2020-02-20,1:56 a.m.
302,comcast-xfinity,2020-02-25,3:20 a.m.
303,comcast-xfinity,2020-02-26,2:28 a.m.
304,comcast-xfinity,2020-02-27,3:28 a.m.
305,comcast-xfinity,2020-03-03,3:48 a.m.
306,comcast-xfinity,2020-03-04,2:56 a.m.
307,comcast-xfinity,2020-03-05,2:28 a.m.
308,comcast-xfinity,2020-03-06,1:28 a.m.
309,comcast-xfinity,2020-03-12,2:28 a.m.
310,comcast-xfinity,2020-03-17,1:48 a.m.
311,comcast-xfinity,2020-03-18,1:24 a.m.
312,comcast-xfinity,2020-03-18,11:56 a.m.
313,comcast-xfinity,2020-03-19,1:32 a.m.
314,comcast-xfinity,2020-03-19,5:12 p.m.
315,comcast-xfinity,2020-03-20,3:12 a.m.
316,comcast-xfinity,2020-03-23,noon
317,comcast-xfinity,2020-03-24,12:48 a.m.
318,comcast-xfinity,2020-03-24,4:40 p.m.
319,comcast-xfinity,2020-03-25,3:32 a.m.
320,comcast-xfinity,2020-03-25,1:32 p.m.
321,comcast-xfinity,2020-03-26,11:48 a.m.
322,comcast-xfinity,2020-03-26,12:16 a.m.
323,comcast-xfinity,2020-03-27,2:32 a.m.
324,comcast-xfinity,2020-03-27,1:32 p.m.
325,comcast-xfinity,2020-03-28,11:48 p.m.
326,comcast-xfinity,2020-03-30,3:16 a.m.
327,comcast-xfinity,2020-03-30,4:28 p.m.
328,comcast-xfinity,2020-03-31,2:28 a.m.
329,comcast-xfinity,2020-03-31,2:24 p.m.
330,comcast-xfinity,2020-04-01,noon
331,comcast-xfinity,2020-04-01,12:48 a.m.
332,comcast-xfinity,2020-04-02,1:24 a.m.
333,comcast-xfinity,2020-04-03,3:56 p.m.
334,comcast-xfinity,2020-04-03,1:40 a.m.
335,comcast-xfinity,2020-04-04,3 a.m.
336,comcast-xfinity,2020-04-05,2:32 a.m.
337,comcast-xfinity,2020-04-05,12:32 p.m.
338,comcast-xfinity,2020-04-05,10:32 p.m.
339,comcast-xfinity,2020-04-07,1:20 a.m.
340,comcast-xfinity,2020-04-07,3:44 p.m.
341,comcast-xfinity,2020-04-08,1:44 a.m.
342,comcast-xfinity,2020-04-08,2:20 p.m.
343,comcast-xfinity,2020-04-09,12:48 a.m.
344,comcast-xfinity,2020-04-10,12:44 a.m.
345,comcast-xfinity,2020-04-13,8:40 p.m.
346,comcast-xfinity,2020-04-13,2:08 a.m.
347,comcast-xfinity,2020-04-14,6:40 a.m.
348,comcast-xfinity,2020-04-15,1:28 a.m.
349,comcast-xfinity,2020-04-16,1:16 a.m.
350,comcast-xfinity,2020-04-17,1:36 a.m.
351,comcast-xfinity,2020-04-18,10:48 p.m.
352,comcast-xfinity,2020-04-20,4:12 p.m.
353,comcast-xfinity,2020-04-20,3:08 a.m.
354,comcast-xfinity,2020-04-21,10:20 p.m.
355,comcast-xfinity,2020-04-21,12:16 p.m.
356,comcast-xfinity,2020-04-21,2:16 a.m.
357,comcast-xfinity,2020-04-22,8:44 p.m.
358,comcast-xfinity,2020-04-24,1:12 a.m.
359,comcast-xfinity,2020-04-27,3:32 a.m.
360,comcast-xfinity,2020-04-28,1:32 a.m.
361,comcast-xfinity,2020-04-29,3:24 a.m.
362,comcast-xfinity,2020-04-30,11:32 a.m.
363,comcast-xfinity,2020-04-30,1:32 a.m.
364,comcast-xfinity,2020-05-01,2:12 a.m.
365,comcast-xfinity,2020-05-04,10:52 p.m.
366,comcast-xfinity,2020-05-04,12:48 p.m.
367,comcast-xfinity,2020-05-04,2:48 a.m.
368,comcast-xfinity,2020-05-05,9:20 p.m.
369,comcast-xfinity,2020-05-07,3:20 p.m.
370,comcast-xfinity,2020-05-07,12:28 a.m.
371,comcast-xfinity,2020-05-08,1:48 a.m.
